census_tract_number,pct_denied_2015,pct_own_occupied_loan_2015,median_loan_amt_2015,pct_refinancing_2015,pct_denied_2010,pct_own_occupied_loan_2010,median_loan_amt_2010,pct_refinancing_2010
8014.02,19.871794871794872,93.58974358974359,180000,57.692307692307686,19.871794871794872,93.58974358974359,180000,57.692307692307686
8014.03,22.846441947565545,96.25468164794007,220000,58.42696629213483,22.846441947565545,96.25468164794007,220000,58.42696629213483
8014.04,20.843672456575682,82.13399503722084,233000,46.898263027295286,20.843672456575682,82.13399503722084,233000,46.898263027295286
8014.05,26.229508196721312,90.1639344262295,148000,50.81967213114754,26.229508196721312,90.1639344262295,148000,50.81967213114754
8014.06,28.46153846153846,93.84615384615384,169000,53.07692307692308,28.46153846153846,93.84615384615384,169000,53.07692307692308
8014.07,24.538258575197887,97.36147757255937,200000,56.464379947229546,24.538258575197887,97.36147757255937,200000,56.464379947229546
8015.00,24.6031746031746,94.44444444444444,145500,55.55555555555556,24.6031746031746,94.44444444444444,145500,55.55555555555556
8016.00,30.434782608695656,81.15942028985508,116000,59.42028985507246,30.434782608695656,81.15942028985508,116000,59.42028985507246
8017.01,27.67295597484277,89.30817610062893,175000,58.490566037735846,27.67295597484277,89.30817610062893,175000,58.490566037735846
8017.02,28.947368421052634,97.36842105263158,163000,63.1578947368421,28.947368421052634,97.36842105263158,163000,63.1578947368421
8017.04,20.588235294117645,97.05882352941177,189500,68.23529411764706,20.588235294117645,97.05882352941177,189500,68.23529411764706
8017.06,14.516129032258066,91.93548387096774,162000,51.61290322580645,14.516129032258066,91.93548387096774,162000,51.61290322580645
8017.07,18.137254901960784,93.13725490196079,172500,41.66666666666667,18.137254901960784,93.13725490196079,172500,41.66666666666667
8017.08,21.153846153846153,95.51282051282051,197000,51.28205128205128,21.153846153846153,95.51282051282051,197000,51.28205128205128
8018.01,30,96,158000,54,30,96,158000,54
8018.02,31.016042780748666,85.56149732620321,117000,46.524064171122994,31.016042780748666,85.56149732620321,117000,46.524064171122994
8018.04,22.857142857142858,96.42857142857143,173500,52.85714285714286,22.857142857142858,96.42857142857143,173500,52.85714285714286
8018.05,31.944444444444443,95.83333333333334,144000,70.83333333333334,31.944444444444443,95.83333333333334,144000,70.83333333333334
8018.07,22.0125786163522,90.56603773584906,177000,69.18238993710692,22.0125786163522,90.56603773584906,177000,69.18238993710692
8018.08,22.93577981651376,97.24770642201835,186000,61.46788990825688,22.93577981651376,97.24770642201835,186000,61.46788990825688
8019.01,18.559556786703602,95.56786703601108,207000,55.4016620498615,18.559556786703602,95.56786703601108,207000,55.4016620498615
8019.02,25.791855203619914,95.02262443438913,170000,55.203619909502265,25.791855203619914,95.02262443438913,170000,55.203619909502265
8019.04,23.703703703703706,98.51851851851852,230000,68.14814814814815,23.703703703703706,98.51851851851852,230000,68.14814814814815
8019.05,19.767441860465116,97.90697674418605,229000,44.883720930232556,19.767441860465116,97.90697674418605,229000,44.883720930232556
8019.06,23.61111111111111,97.22222222222221,160500,40.27777777777778,23.61111111111111,97.22222222222221,160500,40.27777777777778
8020.01,20.833333333333336,93.75,147500,66.66666666666666,20.833333333333336,93.75,147500,66.66666666666666
8020.02,22.285714285714285,94.85714285714286,160000,62.28571428571429,22.285714285714285,94.85714285714286,160000,62.28571428571429
8021.03,21.50537634408602,93.54838709677419,171000,58.602150537634415,21.50537634408602,93.54838709677419,171000,58.602150537634415
8021.04,30.434782608695656,92.7536231884058,131000,63.76811594202898,30.434782608695656,92.7536231884058,131000,63.76811594202898
8021.05,21.17117117117117,99.09909909909909,165000,56.30630630630631,21.17117117117117,99.09909909909909,165000,56.30630630630631
8022.01,20.51282051282051,96.58119658119658,148000,55.55555555555556,20.51282051282051,96.58119658119658,148000,55.55555555555556
8022.03,28.03347280334728,95.39748953974896,167000,54.39330543933054,28.03347280334728,95.39748953974896,167000,54.39330543933054
8022.04,19.41031941031941,96.56019656019656,186000,62.40786240786241,19.41031941031941,96.56019656019656,186000,62.40786240786241
8023.01,21.27659574468085,98.29787234042553,192000,51.91489361702127,21.27659574468085,98.29787234042553,192000,51.91489361702127
8024.03,19.834710743801654,99.17355371900827,170000,61.98347107438017,19.834710743801654,99.17355371900827,170000,61.98347107438017
8024.04,28.57142857142857,93.5064935064935,168000,67.53246753246754,28.57142857142857,93.5064935064935,168000,67.53246753246754
8024.05,30.555555555555557,93.51851851851852,166000,68.51851851851852,30.555555555555557,93.51851851851852,166000,68.51851851851852
8024.06,30.508474576271187,93.22033898305084,167000,77.96610169491525,30.508474576271187,93.22033898305084,167000,77.96610169491525
8025.01,18.867924528301888,97.16981132075472,163000,38.67924528301887,18.867924528301888,97.16981132075472,163000,38.67924528301887
8025.02,29.37062937062937,96.5034965034965,170000,51.74825174825175,29.37062937062937,96.5034965034965,170000,51.74825174825175
8026.00,22.377622377622377,93.7062937062937,155000,44.05594405594406,22.377622377622377,93.7062937062937,155000,44.05594405594406
8027.00,20.12987012987013,93.5064935064935,156500,37.66233766233766,20.12987012987013,93.5064935064935,156500,37.66233766233766
8028.03,19.502074688796682,93.7759336099585,160000,53.52697095435685,19.502074688796682,93.7759336099585,160000,53.52697095435685
